Dp_Lower_Limit_um,Dp_Upper_Limit_um,AvgConc_cm3_All,AvgConc_cm3_Excited,AvgConc_cm3_Fluorescent,AvgConc_cm3_FL1,AvgConc_cm3_FL2,AvgConc_cm3_FL3,AvgConc_cm3_A,AvgConc_cm3_B,AvgConc_cm3_C,AvgConc_cm3_AB,AvgConc_cm3_AC,AvgConc_cm3_BC,AvgConc_cm3_ABC,AvgPeak_FL1,AvgPeak_FL2,AvgPeak_FL3,AvgPeak_A,AvgPeak_B,AvgPeak_C
7.1,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.3,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.7,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.9,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.9,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.3,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.7,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.9,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.1,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.3,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.7,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.9,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.1,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.3,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.5,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.7,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.9,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.1,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.3,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.7,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.9,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.1,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.3,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.5,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.7,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.9,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.3,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.5,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.7,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.9,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.1,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.3,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.5,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.7,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.9,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.1,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.3,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.5,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.7,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.9,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.1,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.3,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.5,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.7,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.9,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.1,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.3,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.9,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.1,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.3,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
